image_name,number_label,2nd_label
1098080_25ch0,1.0,1.0
1815250_25ch1,1.0,1.0
1402290_25ch1,1.0,1.0
1953177_23ch1,1.0,1.0
1759064_19ch0,1.0,1.0
888793_23ch1,1.0,1.0
1564832_23ch1,1.0,1.0
161838_23ch0,1.0,1.0
1209882_20ch1,11.0,
2424418_25ch1,1.0,1.0
482393_25ch0,1.0,1.0
2476891_20ch0,0.0,
1235627_19ch1,1.0,1.0
381912_06ch0,1.0,1.0
1158786_25ch0,0.0,
1714700_23ch1,1.0,1.0
1487732_25ch1,0.0,
1900218_20ch1,1.0,1.0
1344402_23ch0,1.0,1.0
1421726_25ch1,1.0,1.0
2354160_25ch0,1.0,0.0
3031_02ch1,1.0,1.0
8935_06ch1,1.0,1.0
1340828_19ch0,1.0,1.0
1598235_23ch0,1.0,1.0
811271_19ch0,1.0,1.0
137830_08ch1,1.0,1.0
2147340_25ch0,11.0,
197845_08ch0,1.0,1.0
1113043_25ch0,0.0,
1598163_19ch0,0.0,
1112324_23ch0,1.0,11.0
2251741_20ch1,1.0,1.0
2180808_25ch1,1.0,1.0
2130719_25ch0,1.0,1.0
1152440_23ch0,1.0,1.0
719744_25ch1,1.0,1.0
2209886_19ch1,1.0,1.0
774147_07ch0,1.0,1.0
1804288_23ch1,6.0,
1169263_19ch1,1.0,1.0
1789186_20ch0,3.0,
1046586_25ch0,2.0,
1712992_20ch0,1.0,1.0
550755_25ch0,2.0,
180965_27ch1,1.0,1.0
1980348_20ch1,0.0,
1395069_20ch1,1.0,1.0
1004692_25ch0,1.0,1.0
201858_30ch1,1.0,1.0
273226_23ch1,1.0,1.0
408207_19ch1,1.0,1.0
251906_23ch1,1.0,1.0
157758_08ch0,2.0,
190579_02ch0,1.0,1.0
1337402_23ch0,1.0,1.0
1682388_20ch0,2.0,
115920_20ch1,1.0,1.0
2067946_19ch1,1.0,1.0
2267789_19ch0,0.0,
735663_30ch1,11.0,
1171171_19ch0,4.0,
593088_20ch0,1.0,2.0
1997039_20ch0,1.0,1.0
1355677_23ch1,1.0,1.0
2327297_20ch0,1.0,1.0
565205_06ch1,3.0,
1344777_25ch1,1.0,1.0
246455_19ch1,1.0,1.0
531731_23ch1,1.0,1.0
1515538_19ch0,1.0,1.0
12496_07ch0,1.0,1.0
418562_06ch0,1.0,1.0
519167_23ch1,3.0,
1353664_19ch1,1.0,1.0
991458_20ch1,1.0,1.0
720861_25ch0,0.0,
1824575_20ch1,0.0,
294797_19ch0,11.0,
1340658_25ch1,0.0,
2233333_25ch1,0.0,
824018_20ch0,1.0,1.0
1368452_25ch1,1.0,3.0
1326260_20ch1,1.0,1.0
634577_30ch1,1.0,1.0
1094890_25ch0,1.0,1.0
35412_02ch1,3.0,
1741062_23ch1,1.0,1.0
494545_30ch0,1.0,1.0
683108_20ch0,1.0,1.0
1674033_25ch0,1.0,1.0
535105_19ch1,1.0,1.0
2238103_20ch0,1.0,1.0
1078660_19ch1,2.0,
96015_19ch0,0.0,
2261107_25ch1,1.0,1.0
2212938_25ch1,1.0,1.0
1017926_25ch0,1.0,1.0
2246179_19ch1,1.0,1.0
144968_01ch1,1.0,1.0
331426_23ch0,1.0,1.0
55776_20ch1,2.0,
447501_20ch0,1.0,1.0
1297797_23ch1,1.0,1.0
1772288_25ch0,1.0,1.0
1684368_23ch1,1.0,1.0
54994_20ch1,1.0,1.0
884043_23ch1,1.0,1.0
839350_23ch0,1.0,1.0
1996977_20ch0,1.0,1.0
239815_06ch0,1.0,1.0
171021_01ch1,1.0,1.0
2398450_20ch0,1.0,1.0
1414590_20ch1,1.0,1.0
121166_06ch1,1.0,1.0
1040012_20ch1,1.0,1.0
19203_19ch0,1.0,1.0
596241_23ch1,1.0,1.0
2351907_25ch0,1.0,1.0
1936305_19ch1,1.0,1.0
460768_19ch0,1.0,1.0
696940_20ch0,2.0,
245215_02ch0,1.0,1.0
173638_08ch1,1.0,1.0
1991598_25ch0,0.0,
1891976_23ch0,1.0,1.0
1382523_19ch0,1.0,1.0
1929720_23ch0,1.0,1.0
2262283_20ch1,1.0,1.0
1975905_19ch0,1.0,1.0
2129372_19ch0,1.0,1.0
2495743_25ch1,1.0,1.0
1835329_19ch1,1.0,1.0
390635_08ch1,1.0,1.0
1708454_19ch0,1.0,1.0
838608_30ch1,1.0,1.0
1143329_20ch1,2.0,
306035_01ch1,3.0,
1279711_20ch0,1.0,1.0
1370406_20ch0,2.0,
868081_25ch1,0.0,
1523925_19ch1,1.0,0.0
1743506_20ch1,0.0,
27036_23ch0,6.0,
1051333_25ch0,1.0,1.0
933346_20ch1,1.0,1.0
830783_23ch1,1.0,1.0
268176_19ch1,1.0,1.0
1135850_23ch0,1.0,1.0
1410304_20ch1,2.0,
724461_30ch1,1.0,1.0
2446502_25ch1,1.0,1.0
1519696_25ch1,1.0,1.0
887120_23ch0,1.0,1.0
2075981_25ch1,1.0,1.0
2073420_25ch0,1.0,1.0
148934_08ch0,1.0,1.0
1154654_25ch1,1.0,1.0
2012902_23ch1,3.0,
215531_06ch0,1.0,1.0
629909_19ch1,1.0,1.0
456414_20ch1,1.0,1.0
1022827_19ch1,1.0,1.0
1085597_20ch0,1.0,1.0
600169_25ch0,1.0,1.0
1481291_23ch0,1.0,1.0
1531479_19ch0,0.0,
143814_30ch0,1.0,1.0
495119_19ch0,1.0,1.0
355177_23ch1,9.0,
1839488_20ch1,2.0,
1632180_23ch0,1.0,1.0
357452_23ch1,1.0,1.0
1357941_23ch0,1.0,1.0
195267_19ch0,1.0,1.0
1751071_19ch0,1.0,1.0
1931266_25ch1,3.0,
1453492_23ch1,1.0,1.0
1401943_19ch0,1.0,1.0
1594766_23ch0,1.0,1.0
1645909_19ch0,1.0,1.0
793312_19ch0,1.0,1.0
2476221_25ch0,1.0,1.0
1748009_19ch0,11.0,
315821_20ch1,1.0,1.0
1856515_23ch0,1.0,1.0
1325140_25ch0,1.0,1.0
1098560_25ch1,1.0,1.0
1823903_19ch1,1.0,1.0
1200066_23ch0,1.0,1.0
1407616_20ch1,1.0,1.0
1524200_20ch0,1.0,1.0
2288830_25ch1,1.0,1.0
2451812_20ch1,1.0,1.0
91542_23ch1,1.0,1.0
1454360_19ch1,1.0,1.0
1990883_23ch0,1.0,1.0
345675_06ch1,1.0,1.0
1460928_19ch1,1.0,1.0
191510_08ch1,1.0,1.0
336329_08ch0,1.0,1.0
591860_23ch0,1.0,1.0
13693_20ch0,2.0,
82320_20ch0,1.0,1.0
842541_25ch1,0.0,
455486_19ch1,1.0,1.0
167436_01ch0,1.0,1.0
281158_19ch1,1.0,1.0
429606_08ch0,1.0,1.0
1332677_19ch1,1.0,1.0
2422059_25ch1,1.0,1.0
1307329_19ch0,1.0,1.0
1197512_25ch1,1.0,1.0
644376_25ch1,1.0,1.0
1902305_23ch1,1.0,1.0
132883_20ch0,1.0,1.0
1437638_19ch0,1.0,1.0
232111_08ch0,1.0,1.0
2396465_25ch1,1.0,1.0
365772_30ch0,1.0,1.0
559440_07ch1,1.0,1.0
576457_20ch0,1.0,1.0
626318_25ch0,1.0,1.0
614162_23ch0,1.0,1.0
587400_23ch0,1.0,1.0
1300153_20ch1,2.0,
956594_19ch1,1.0,1.0
1725582_20ch0,2.0,
240657_19ch1,2.0,
424239_23ch0,1.0,1.0
1326036_25ch0,1.0,1.0
1244113_19ch1,1.0,1.0
669236_25ch0,1.0,1.0
1869645_19ch0,1.0,1.0
787954_19ch1,1.0,1.0
200740_08ch1,1.0,1.0
1756507_20ch1,1.0,1.0
113016_20ch0,1.0,1.0
1237979_19ch0,1.0,1.0
593394_25ch1,2.0,
1459062_20ch1,1.0,1.0
383450_19ch0,1.0,1.0
2341836_19ch0,1.0,1.0
690317_30ch1,1.0,1.0
1808541_23ch0,1.0,1.0
60388_23ch0,1.0,1.0
322952_08ch0,1.0,1.0
1828904_19ch1,1.0,1.0
1730164_19ch1,1.0,1.0
1184707_23ch0,1.0,1.0
195762_08ch0,1.0,1.0
1397474_19ch0,1.0,1.0
318_23ch0,1.0,1.0
373596_06ch0,1.0,1.0
74992_19ch0,1.0,1.0
397875_07ch0,1.0,1.0
1053666_25ch0,1.0,1.0
336684_06ch1,1.0,1.0
355580_06ch1,1.0,1.0
1105090_19ch1,1.0,1.0
1464462_25ch0,1.0,1.0
265565_19ch1,1.0,1.0
1688607_25ch1,1.0,1.0
2464909_25ch1,0.0,
324001_06ch1,1.0,1.0
1876696_20ch1,1.0,1.0
929485_25ch1,1.0,1.0
2188878_25ch1,1.0,1.0
1858617_19ch1,0.0,
2073113_20ch0,1.0,1.0
578858_23ch0,1.0,1.0
1744980_25ch0,1.0,0.0
1294832_23ch0,1.0,1.0
1394441_19ch0,1.0,1.0
156203_23ch1,1.0,1.0
2571696_25ch1,1.0,1.0
1525646_20ch1,1.0,1.0
1445753_19ch0,1.0,1.0
428596_30ch1,1.0,1.0
2110061_25ch0,0.0,
1368175_19ch0,1.0,11.0
1228586_19ch0,1.0,1.0
263957_23ch1,1.0,1.0
1567113_19ch1,1.0,1.0
2310910_19ch1,2.0,
1071100_20ch1,1.0,1.0
2195516_20ch0,1.0,6.0
1361985_19ch0,1.0,1.0
60605_20ch1,1.0,0.0
2010584_19ch0,1.0,1.0
468383_23ch0,1.0,1.0
1686961_19ch0,1.0,1.0
495227_23ch1,1.0,3.0
1664434_19ch0,1.0,1.0
1234405_25ch1,2.0,
1774961_23ch0,1.0,1.0
260967_08ch0,1.0,1.0
1045215_20ch0,2.0,
2387259_20ch1,1.0,1.0
533505_25ch0,2.0,
150577_23ch1,1.0,1.0
480302_23ch1,1.0,1.0
1030059_19ch0,1.0,1.0
1140373_23ch1,1.0,1.0
2047579_19ch0,1.0,1.0
155793_19ch1,1.0,1.0
790686_25ch1,1.0,1.0
254186_23ch1,1.0,1.0
2146463_20ch1,1.0,1.0
704325_20ch1,1.0,1.0
2165748_25ch0,1.0,1.0
963776_25ch0,1.0,1.0
955194_23ch0,1.0,1.0
1116259_25ch1,1.0,1.0
2146419_25ch1,1.0,1.0
2121754_25ch0,1.0,1.0
1874196_23ch0,1.0,1.0
1063716_25ch0,1.0,1.0
26853_07ch0,1.0,1.0
1466478_20ch0,1.0,1.0
1154668_25ch1,2.0,
1884052_23ch1,1.0,1.0
1798742_25ch0,1.0,1.0
1147192_19ch1,1.0,1.0
2162045_25ch0,0.0,
656381_30ch1,1.0,1.0
1785151_19ch0,1.0,1.0
245891_19ch0,1.0,1.0
1161414_19ch1,1.0,1.0
1187479_23ch1,1.0,1.0
2053734_20ch1,1.0,1.0
199877_20ch0,1.0,1.0
1801351_19ch0,2.0,
1346373_20ch1,1.0,6.0
1165779_23ch0,1.0,0.0
6213_20ch1,1.0,1.0
1053616_25ch0,1.0,1.0
1531603_20ch0,1.0,1.0
694638_30ch0,0.0,
1697758_19ch0,1.0,1.0
438290_25ch0,1.0,1.0
80149_06ch0,1.0,1.0
1457215_25ch0,1.0,1.0
2214738_20ch0,1.0,1.0
634251_19ch1,1.0,1.0
1573107_20ch1,1.0,1.0
1858496_25ch1,1.0,3.0
1867321_25ch0,1.0,1.0
949094_23ch1,1.0,1.0
182046_08ch1,1.0,1.0
665814_25ch1,1.0,1.0
985878_20ch1,1.0,1.0
211761_19ch0,2.0,
1075940_25ch1,1.0,1.0
422336_08ch1,1.0,1.0
1854352_20ch1,11.0,
1787605_25ch0,1.0,1.0
975107_25ch1,1.0,1.0
331088_20ch0,1.0,1.0
1584316_20ch0,1.0,1.0
1038305_25ch0,1.0,1.0
861467_20ch0,1.0,1.0
469675_20ch0,1.0,1.0
33361_26ch1,1.0,1.0
2101730_20ch0,0.0,
1208745_25ch0,1.0,1.0
1385113_25ch0,1.0,1.0
784004_23ch1,1.0,1.0
1103670_23ch0,1.0,1.0
2174032_25ch1,1.0,1.0
569060_30ch0,1.0,1.0
941477_23ch0,0.0,
1475890_25ch1,1.0,1.0
1547210_23ch1,1.0,1.0
1029937_25ch0,1.0,1.0
2392953_19ch1,1.0,1.0
1933117_19ch1,0.0,
711460_25ch0,1.0,1.0
1241362_19ch0,1.0,1.0
2313696_19ch0,1.0,1.0
1548488_23ch1,1.0,1.0
281055_19ch1,1.0,1.0
1294326_25ch0,0.0,
1123071_19ch0,1.0,1.0
102426_19ch0,1.0,1.0
37380_26ch0,1.0,1.0
249195_02ch1,1.0,1.0
1463889_20ch0,2.0,
1625848_23ch1,1.0,1.0
987230_25ch0,1.0,11.0
2399356_20ch0,1.0,1.0
13366_26ch1,0.0,
752975_19ch1,1.0,1.0
1788723_20ch1,2.0,
1895013_25ch1,1.0,1.0
394829_19ch1,1.0,1.0
1972293_20ch1,1.0,3.0
254647_19ch0,1.0,3.0
697253_20ch0,2.0,
1863574_19ch0,1.0,1.0
1545004_25ch1,1.0,1.0
1902459_20ch0,1.0,1.0
1632283_20ch1,1.0,1.0
942322_19ch0,1.0,0.0
69562_06ch0,1.0,1.0
230087_23ch1,1.0,1.0
1807599_20ch1,0.0,
1887839_20ch0,6.0,
431684_19ch1,1.0,1.0
1331894_20ch0,0.0,
1082423_19ch0,1.0,1.0
2007207_25ch0,1.0,1.0
298971_02ch0,1.0,1.0
275480_07ch1,1.0,1.0
1032359_19ch0,1.0,1.0
293624_01ch0,1.0,1.0
1090163_23ch0,1.0,1.0
1375734_25ch1,1.0,0.0
659400_25ch0,1.0,1.0
1051602_25ch1,1.0,1.0
306527_20ch0,1.0,1.0
150185_01ch0,1.0,1.0
174252_06ch1,0.0,
1952361_20ch1,11.0,
321861_08ch0,1.0,0.0
1172243_23ch1,1.0,1.0
597631_30ch1,1.0,1.0
2063395_20ch0,1.0,1.0
1817935_23ch0,1.0,1.0
2440556_20ch0,1.0,1.0
473733_07ch1,1.0,1.0
270960_08ch1,1.0,1.0
286250_23ch0,1.0,1.0
455600_08ch0,0.0,
594549_19ch0,1.0,1.0
343219_23ch0,1.0,1.0
2588271_25ch1,1.0,1.0
11937_26ch0,9.0,
250908_06ch1,1.0,1.0
443660_08ch0,1.0,1.0
709156_07ch1,1.0,1.0
1119590_25ch1,1.0,1.0
2558019_25ch1,1.0,1.0
269968_08ch1,1.0,1.0
609970_25ch0,2.0,
1094358_25ch0,1.0,1.0
2290161_20ch0,1.0,1.0
401225_06ch1,1.0,1.0
1802388_25ch1,1.0,1.0
523871_20ch0,1.0,1.0
470524_06ch0,1.0,1.0
1006206_19ch0,1.0,1.0
1411342_19ch1,1.0,1.0
1416248_23ch0,1.0,1.0
854075_23ch0,1.0,1.0
406724_08ch1,1.0,1.0
1196318_19ch1,1.0,1.0
706398_30ch0,1.0,1.0
1941561_25ch0,1.0,1.0
503877_08ch1,1.0,3.0
236211_07ch1,1.0,1.0
1557202_23ch0,1.0,1.0
1427946_23ch0,1.0,1.0
565413_19ch0,1.0,1.0
876392_25ch1,1.0,1.0
647089_23ch0,1.0,1.0
137415_08ch0,1.0,1.0
2432374_25ch0,1.0,1.0
1327001_25ch0,1.0,1.0
1711910_19ch0,1.0,1.0
328892_02ch1,1.0,1.0
1336666_25ch0,1.0,1.0
739702_30ch0,1.0,1.0
1760565_23ch1,1.0,1.0
112010_20ch1,1.0,1.0
163707_08ch0,1.0,1.0
1324622_25ch1,1.0,1.0
1297404_20ch1,2.0,
2495173_25ch0,4.0,
690858_19ch0,11.0,
858091_20ch0,1.0,1.0
973229_25ch0,0.0,
329501_23ch0,1.0,1.0
189177_23ch1,1.0,1.0
1059865_25ch0,1.0,1.0
995279_19ch0,1.0,1.0
539027_20ch0,2.0,
535436_23ch1,1.0,1.0
528068_19ch1,1.0,1.0
626990_30ch0,1.0,1.0
2405993_25ch1,2.0,
382560_06ch1,0.0,
2111946_25ch0,2.0,
583854_19ch1,1.0,1.0
821448_23ch1,1.0,1.0
201014_20ch1,1.0,1.0
872824_20ch0,2.0,
31609_07ch0,1.0,1.0
99143_23ch1,1.0,1.0
583867_23ch0,1.0,1.0
819717_25ch0,1.0,1.0
1128834_19ch0,1.0,1.0
1949184_25ch1,1.0,3.0
575097_19ch1,1.0,1.0
62827_19ch0,1.0,1.0
570152_20ch1,1.0,1.0
167740_08ch1,1.0,1.0
1375813_20ch1,1.0,3.0
1465040_25ch1,2.0,
2208803_25ch1,1.0,1.0
23866_26ch1,1.0,1.0
2597117_25ch1,1.0,1.0
1133715_25ch1,1.0,1.0
794809_23ch0,1.0,1.0
286176_02ch0,0.0,
460769_19ch1,1.0,1.0
1724916_19ch0,1.0,1.0
991162_25ch1,2.0,
2471904_25ch0,0.0,
1242153_23ch1,3.0,
2117002_25ch0,1.0,1.0
1244865_20ch0,1.0,1.0
2214447_25ch1,1.0,1.0
1806106_25ch0,1.0,1.0
40598_20ch1,1.0,1.0
2028030_25ch0,1.0,1.0
1050735_25ch1,1.0,1.0
366870_08ch0,1.0,1.0
2390889_25ch0,1.0,1.0
227826_08ch0,1.0,1.0
1701703_25ch1,1.0,1.0
1726586_25ch0,1.0,1.0
1850327_20ch1,1.0,1.0
1326747_20ch0,1.0,1.0
619373_23ch0,1.0,1.0
201215_19ch1,1.0,1.0
1003229_25ch1,2.0,
376495_06ch0,4.0,
1277474_25ch1,1.0,1.0
451249_30ch1,2.0,
224334_23ch0,1.0,1.0
1039730_23ch1,2.0,
2359153_20ch1,1.0,1.0
1825104_25ch0,1.0,1.0
315479_08ch0,1.0,1.0
1695682_20ch1,1.0,1.0
14074_19ch0,2.0,
1912142_25ch0,2.0,
1512862_25ch0,2.0,
1092117_23ch0,1.0,1.0
433201_19ch1,1.0,1.0
368082_06ch1,1.0,1.0
174681_23ch1,0.0,
832476_23ch1,1.0,1.0
693865_25ch1,1.0,1.0
2311820_25ch0,2.0,
1289966_19ch1,1.0,1.0
751357_19ch1,1.0,1.0
762438_19ch1,1.0,1.0
1243693_25ch1,1.0,1.0
1183280_23ch0,1.0,1.0
191423_20ch1,1.0,1.0
1465007_19ch1,1.0,1.0
146659_07ch1,1.0,1.0
273303_07ch1,1.0,1.0
2576785_25ch1,1.0,1.0
131104_23ch0,1.0,1.0
838108_25ch1,2.0,
2098749_19ch0,1.0,1.0
1427197_25ch0,1.0,1.0
357210_20ch1,1.0,1.0
984978_25ch1,11.0,
1512481_23ch1,1.0,1.0
1137775_23ch1,1.0,1.0
626371_26ch0,2.0,
2345487_19ch0,1.0,1.0
454095_08ch1,1.0,1.0
640088_30ch1,1.0,1.0
1765589_23ch0,1.0,1.0
1183468_25ch1,1.0,1.0
2047638_25ch0,1.0,1.0
1479839_23ch0,1.0,1.0
169204_08ch1,1.0,1.0
844181_23ch0,1.0,1.0
1874364_20ch0,11.0,
584748_19ch0,1.0,1.0
1156348_19ch0,1.0,1.0
483092_25ch0,1.0,1.0
1519105_19ch1,1.0,1.0
939572_23ch1,0.0,
8519_02ch1,1.0,1.0
1792073_19ch0,2.0,
1114039_19ch1,1.0,1.0
46127_19ch1,1.0,1.0
1415958_23ch1,1.0,1.0
81451_23ch1,1.0,1.0
685996_23ch0,1.0,1.0
2187865_25ch1,1.0,0.0
1683009_25ch1,2.0,
519534_06ch0,3.0,
2083530_19ch1,1.0,1.0
162797_08ch0,1.0,1.0
361374_25ch0,1.0,1.0
1878452_20ch0,11.0,
744255_25ch1,2.0,
1478335_25ch1,1.0,1.0
138284_19ch0,1.0,1.0
636637_30ch1,1.0,1.0
181143_02ch1,1.0,1.0
453024_20ch0,0.0,
109269_06ch1,3.0,
324541_19ch1,1.0,1.0
1322884_23ch0,1.0,1.0
262098_23ch0,1.0,1.0
71684_08ch1,1.0,1.0
1672136_25ch1,1.0,1.0
468800_20ch1,1.0,1.0
1280670_19ch1,1.0,1.0
1229898_19ch0,1.0,1.0
1907926_20ch1,1.0,1.0
646763_25ch0,0.0,
1099897_20ch0,1.0,1.0
1133452_19ch1,1.0,1.0
1559933_20ch0,1.0,1.0
676316_07ch1,1.0,1.0
1282725_19ch1,1.0,1.0
1068293_25ch1,1.0,1.0
1071305_20ch1,1.0,1.0
1932511_20ch1,1.0,1.0
507341_23ch1,1.0,1.0
2184441_25ch0,1.0,1.0
724316_30ch1,1.0,1.0
774447_19ch1,1.0,1.0
970630_23ch1,1.0,1.0
368061_08ch1,1.0,1.0
2206221_25ch1,1.0,1.0
2369286_19ch1,1.0,1.0
373984_19ch1,1.0,1.0
1694122_20ch1,1.0,1.0
863229_19ch1,0.0,
2288483_20ch0,1.0,1.0
62239_26ch1,1.0,1.0
1503451_19ch1,1.0,1.0
989681_19ch1,1.0,1.0
918330_25ch0,2.0,
654674_30ch1,1.0,1.0
573724_25ch0,1.0,1.0
1642864_23ch1,1.0,1.0
1305284_25ch0,1.0,1.0
305539_01ch1,1.0,1.0
80879_06ch1,1.0,1.0
632845_20ch1,1.0,1.0
1804150_19ch1,1.0,1.0
1336723_23ch1,1.0,1.0
1886987_23ch0,1.0,1.0
1252378_25ch0,1.0,1.0
695068_19ch1,1.0,1.0
1935135_19ch0,1.0,1.0
2089878_25ch1,1.0,1.0
1479213_25ch0,1.0,1.0
1752788_23ch0,2.0,
1195950_25ch0,1.0,1.0
139483_27ch0,1.0,1.0
2238112_25ch0,1.0,1.0
1443962_20ch1,2.0,
2019455_19ch0,1.0,1.0
1683212_20ch0,11.0,
1936715_20ch0,0.0,
1663574_23ch0,1.0,1.0
486493_06ch0,1.0,1.0
1619420_25ch1,1.0,1.0
1995312_20ch0,1.0,1.0
1907151_25ch1,1.0,1.0
1191320_23ch0,1.0,1.0
1536562_19ch0,1.0,1.0
60628_19ch1,1.0,1.0
346132_08ch0,1.0,1.0
2488534_25ch0,1.0,1.0
1545468_20ch1,1.0,1.0
1311955_19ch1,1.0,1.0
81995_19ch1,1.0,1.0
1478076_19ch0,1.0,1.0
1012368_23ch0,1.0,1.0
192259_19ch1,1.0,1.0
289987_07ch0,4.0,
166325_02ch1,1.0,1.0
262076_23ch1,1.0,1.0
1661373_25ch1,0.0,
461488_19ch0,1.0,1.0
300466_01ch1,1.0,1.0
81894_23ch1,1.0,1.0
398991_06ch0,1.0,1.0
1573197_19ch1,1.0,1.0
148499_19ch0,2.0,
754736_30ch0,1.0,1.0
1775560_25ch0,1.0,1.0
688685_30ch1,1.0,1.0
387936_07ch0,1.0,1.0
149610_19ch1,1.0,1.0
1368289_20ch1,1.0,1.0
384071_30ch1,1.0,1.0
2549276_25ch1,2.0,
1645604_20ch1,2.0,
473124_07ch1,1.0,1.0
720778_23ch1,1.0,1.0
1364554_23ch0,1.0,1.0
1923109_19ch1,1.0,1.0
1339728_23ch0,1.0,1.0
1220604_25ch0,0.0,
569234_19ch1,1.0,1.0
1828956_19ch1,1.0,1.0
732868_19ch0,0.0,
274372_07ch0,1.0,1.0
210489_27ch0,11.0,
1096544_25ch1,1.0,1.0
1316654_25ch1,1.0,1.0
421298_07ch1,2.0,
273719_08ch0,1.0,1.0
2306134_25ch1,0.0,
25191_23ch0,6.0,
1340155_19ch1,1.0,1.0
1340923_20ch0,1.0,1.0
1219521_23ch1,1.0,1.0
1208950_20ch1,1.0,1.0
666142_19ch0,0.0,
646220_07ch0,1.0,1.0
426773_23ch1,1.0,1.0
2107428_20ch1,1.0,1.0
965308_25ch1,1.0,1.0
674211_19ch0,1.0,1.0
2081770_19ch0,1.0,1.0
1800156_23ch1,1.0,1.0
411302_19ch1,1.0,1.0
1616460_20ch0,2.0,
1222733_19ch1,2.0,
386959_23ch0,1.0,1.0
1231203_19ch0,1.0,1.0
948180_25ch0,1.0,1.0
375713_06ch0,1.0,1.0
2415249_25ch0,1.0,1.0
1133268_23ch0,1.0,1.0
1098970_19ch1,1.0,1.0
2404234_25ch0,3.0,
280679_29ch0,1.0,1.0
88015_01ch1,1.0,1.0
375947_06ch0,1.0,1.0
1321930_25ch0,0.0,
659552_30ch1,1.0,1.0
233344_19ch1,1.0,1.0
750072_25ch0,1.0,1.0
2046220_19ch0,1.0,1.0
1403496_19ch1,1.0,1.0
459533_19ch0,1.0,1.0
580740_30ch1,1.0,1.0
1416418_20ch1,2.0,
1264757_19ch0,1.0,1.0
712716_30ch0,1.0,1.0
1467246_23ch0,1.0,1.0
2023585_23ch1,1.0,1.0
1690743_19ch0,1.0,1.0
204176_06ch1,3.0,
565114_25ch1,1.0,1.0
1040751_19ch0,1.0,1.0
703825_30ch1,1.0,1.0
783037_19ch0,1.0,1.0
575639_25ch0,1.0,1.0
849934_23ch0,1.0,1.0
479302_19ch0,1.0,1.0
1192469_23ch1,1.0,1.0
1962775_20ch0,2.0,
1870406_23ch0,1.0,1.0
1292308_20ch0,1.0,1.0
1475979_19ch1,1.0,1.0
1109506_25ch1,2.0,
816213_20ch0,1.0,1.0
2087480_20ch1,1.0,1.0
1302067_23ch0,1.0,1.0
1290941_19ch1,1.0,1.0
1760508_25ch1,0.0,
867193_25ch0,2.0,
349348_01ch1,1.0,1.0
59794_06ch0,1.0,1.0
92134_23ch0,1.0,1.0
